GeneSet	BM448.CG2.LUC.mCherry.no71	BM449.CG2.LUC.mCherry.no75	BM455.CG2.LUC.mCherry.no84	BM462.CG2.LUC.mCherry.no98	BM472.CG2.RAS.mCherry.no77	BM508.CG2.RAS.mCherry.no79	BM522.CG2.RAS.mCherry.no70	BM458.MIC.LUC.mCherry.no102	BM474.MIC.LUC.mCherry.no106	BM485.MIC.LUC.mCherry.no110
Spdye4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r11	35.93	38.78	33.79	41.35	49.89	54.07	70.5	43.14	35.06	36.68
Gm11172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nr2e3	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0
Ppp1r10	28.67	32.41	33.36	43.62	37.83	22.16	20.93	22.46	24.38	35.37
Ppp1r17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nr2e1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r18	47.38	34.69	17.74	22.17	15.32	34.3	74.84	116.49	58.14	133.54
Scn3a	0.28	0.0	0.0	0.0	0.02	0.0	0.02	0.1	0.0	0.22
Scn3b	0.35	0.0	0.02	0.0	0.95	0.0	0.02	0.0	0.02	0.02
Gm1968	0.0	0.0	0.0	0.33	0.33	0.46	0.59	0.0	0.0	0.23
Cygb	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.09	0.03
Fam174a	6.79	7.83	6.59	7.27	8.87	6.34	5.91	6.95	8.59	9.37
Trmt44	2.23	2.89	3.19	5.51	3.85	5.3	3.26	3.76	4.71	3.02
Tdg	32.71	62.79	41.38	72.8	71.6	52.83	61.72	26.9	32.15	40.33
Haghl	11.61	19.12	8.6	13.89	25.27	10.14	18.25	6.62	15.3	10.72
Fam174b	11.04	42.78	17.18	36.76	59.86	10.74	33.15	2.01	6.23	1.64
Tdh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pycard	48.46	33.99	35.28	36.91	51.83	20.15	37.24	58.75	35.09	66.23
4933402E13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r21	17.14	19.92	13.63	21.1	17.71	9.64	20.56	34.94	23.83	37.26
Ppp1r27	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0
Gpr37l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r26	0.12	0.5	0.46	1.25	2.63	0.03	0.15	0.07	0.68	0.36
Katna1	32.48	47.62	36.98	58.25	51.94	43.33	52.09	27.27	32.15	35.88
Spry2	1.54	1.4	0.88	0.26	5.73	1.42	3.5	3.38	2.73	5.68
Gm11168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scn4a	0.04	0.06	0.01	0.03	0.07	0.01	0.04	1.87	1.43	1.19
Spry1	8.84	25.49	12.04	12.04	60.77	8.02	11.05	0.39	0.22	0.31
Atp6v0d2	0.06	0.15	0.09	0.0	4.07	4.29	2.25	0.34	0.08	0.25
Scn4b	0.0	0.0	0.0	0.02	0.02	0.11	0.0	4.45	0.48	0.47
Atp6v0d1	67.53	66.41	58.27	62.96	62.8	80.39	66.3	75.32	61.17	96.29
3300002I08Rik	2.05	2.69	2.55	4.89	2.15	0.71	1.31	1.78	1.27	0.69
Tec	6.55	8.22	3.77	5.67	9.6	3.69	9.07	23.32	20.71	23.71
Tef	17.29	20.45	10.93	22.89	27.82	12.14	17.69	9.76	13.83	7.48
Fam175b	26.46	29.68	21.96	27.76	30.82	15.31	18.91	23.28	18.66	25.67
Cadps	0.0	0.02	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0
Fam175a	23.77	23.43	23.29	28.44	32.79	15.05	19.13	5.72	8.41	7.05
Spry4	0.0	0.06	0.02	0.02	1.82	0.38	0.38	0.16	0.0	0.09
Asb9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Katnb1	17.13	19.18	10.78	18.0	22.04	14.6	17.06	7.13	6.69	11.52
Asb8	22.16	21.94	17.85	18.38	24.5	16.41	17.99	10.42	13.09	12.77
Asb7	10.03	8.97	7.6	9.99	13.23	6.11	7.89	12.87	6.49	17.59
Asb6	22.04	21.01	19.73	17.66	16.77	23.61	17.11	10.43	15.15	23.3
Sclt1	7.12	11.05	9.33	10.86	12.39	7.19	7.26	4.78	10.13	9.97
Asb5	0.39	0.24	0.21	0.12	0.94	0.24	0.58	0.1	0.28	0.16
Tek	7.21	19.38	3.68	14.64	0.96	2.92	4.05	0.3	10.93	0.32
Asb4	0.05	0.0	0.0	0.0	0.03	0.0	0.05	0.06	0.18	0.0
Asb3	10.63	14.08	12.95	13.87	16.38	12.76	13.0	8.47	10.45	11.56
Asb2	0.5	0.57	0.2	0.16	0.43	1.07	0.82	2.19	0.84	2.29
Asb1	76.9	62.7	58.64	84.12	46.99	50.35	59.71	10.88	28.78	28.85
Lars2	165.46	182.32	169.85	146.88	296.95	157.9	216.43	129.67	142.25	128.45
C330007P06Rik	24.9	32.6	26.99	33.69	29.96	18.83	20.82	11.05	13.04	16.26
Tes	8.77	2.32	2.42	0.56	5.45	10.44	15.86	46.13	47.62	45.76
B020004C17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rab3il1	6.04	5.47	17.48	2.65	4.43	94.93	9.69	12.14	57.71	65.18
Mycbp2	35.15	39.17	28.66	38.54	45.02	11.34	35.82	42.1	43.22	39.13
Tfg	54.59	49.47	60.63	55.26	56.81	51.0	59.7	26.63	32.76	36.74
Hyou1	36.6	40.63	35.87	43.85	63.16	47.53	64.42	38.85	44.24	46.76
Dgcr14	10.98	13.67	8.47	11.64	15.53	9.64	9.85	8.5	8.84	10.07
Wsb1	51.69	58.3	34.12	49.75	55.55	60.9	47.54	59.19	52.7	70.77
Ift88	2.23	4.44	2.11	3.34	5.96	1.72	3.36	0.88	4.2	2.69
Ddit4	47.02	42.42	21.2	21.0	40.93	46.22	109.6	12.68	16.05	11.97
Ift81	0.26	0.18	0.85	1.02	1.88	0.48	0.38	1.21	0.88	1.28
Ddit3	22.65	32.63	29.45	24.95	31.8	122.2	37.65	15.35	27.74	30.27
Wsb2	19.41	24.22	16.5	19.74	17.94	53.81	55.75	16.25	10.05	19.97
Ankrd13a	348.74	834.58	431.82	724.63	1120.9	280.44	475.16	161.22	235.94	231.83
Uba52	1472.81	1491.39	1601.93	1593.71	1499.76	1566.66	1043.51	766.14	1274.29	995.3
Uhrf1	95.58	117.05	114.46	114.74	104.68	163.41	97.23	63.58	96.85	127.56
Cwh43	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
Ankrd13c	31.3	37.89	34.39	44.51	40.12	34.95	38.06	22.79	22.9	27.78
Uhrf2	36.66	45.68	43.24	53.25	51.88	44.92	35.36	24.28	38.66	32.84
Ankrd13b	7.09	8.7	6.09	9.35	21.11	3.53	13.64	1.61	9.28	2.41
Aasdh	9.89	16.4	11.87	20.6	19.17	10.31	10.65	7.86	10.11	5.35
Ankrd13d	1.79	0.49	0.59	1.04	1.73	0.72	2.23	11.58	6.39	11.49
Ift80	8.89	13.94	15.77	23.63	22.96	23.3	10.55	12.49	13.14	20.51
Topors	41.83	57.94	35.9	45.93	69.23	33.16	40.39	15.37	23.66	22.19
Bves	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.12	0.0	0.15
Fxyd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fxyd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fxyd1	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.3	0.0	0.0
Fxyd2	0.0	0.16	0.0	0.0	0.0	0.34	0.25	0.48	0.0	0.22
Fxyd7	0.0	0.17	0.14	0.0	0.0	0.0	0.0	0.1	0.0	0.0
Fxyd5	217.82	230.52	75.63	122.73	222.96	257.99	370.81	300.69	209.3	403.39
Fxyd6	0.0	0.0	0.0	0.0	0.05	0.04	0.0	0.48	0.27	0.25
Larp7	57.31	98.73	72.92	72.32	78.08	71.35	64.95	28.22	41.02	41.91
Morf4l2	111.65	182.45	133.6	125.26	200.29	165.26	191.37	59.72	97.03	95.43
Morf4l1	281.64	452.99	325.91	397.69	468.58	350.81	462.19	195.3	253.31	278.4
Larp4	21.72	23.2	24.16	30.61	31.98	18.37	21.71	12.27	18.38	15.55
Eif4enif1	47.56	52.82	53.75	50.15	41.74	78.72	43.0	40.69	51.19	56.37
Larp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F930015N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spatc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24
Uba1y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nprl3	71.27	51.64	40.39	86.07	40.13	37.84	33.61	7.59	16.5	17.36
Sfxn2	8.35	14.44	9.22	12.5	15.24	7.89	10.83	3.9	6.43	3.97
Nprl2	8.8	9.21	10.93	13.63	14.59	9.07	12.64	12.34	12.09	11.17
Sfxn1	83.95	80.87	88.12	97.29	92.14	93.41	95.88	22.71	44.71	32.93
Sfxn4	0.9	1.86	1.24	2.54	2.75	1.43	1.3	0.95	2.22	1.09
Sfxn3	15.18	15.6	11.35	17.38	14.96	9.82	12.63	11.28	15.84	10.92
Fgfr3	0.35	0.51	0.52	0.32	0.3	0.1	0.28	0.0	0.16	0.46
Fgfr4	0.0	0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sfxn5	2.94	1.33	1.7	2.03	1.26	0.54	1.59	3.56	1.6	13.1
Fgfr1	0.25	0.15	0.17	0.35	0.8	12.76	4.38	0.61	0.81	0.94
Pabpc1l	1.05	0.92	1.44	1.55	1.12	0.65	1.03	7.81	2.44	10.51
Fgfr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gcsh	35.31	29.95	37.36	40.87	46.14	30.86	55.2	5.5	22.47	9.7
Eif4a3	145.07	188.38	147.64	148.34	186.61	174.99	183.64	87.21	115.81	118.75
Eif4a2	327.71	401.09	201.16	362.6	443.65	263.98	285.13	220.98	280.14	242.3
Eif4a1	772.26	767.95	768.27	766.52	984.33	760.13	796.65	221.98	334.87	330.09
Tk2	21.41	20.13	10.62	17.19	17.99	12.29	18.4	26.18	17.47	28.33
Tk1	140.49	189.16	171.76	131.35	99.41	168.33	86.47	32.05	56.26	87.83
Dzip3	14.35	13.55	16.93	21.69	19.23	8.66	12.98	4.71	7.86	7.41
Dzip1	2.24	8.33	2.44	6.51	7.54	1.16	4.81	0.94	0.83	0.34
Ptrh2	13.81	14.58	19.92	19.87	17.11	11.87	15.52	4.87	11.94	7.77
Ptrh1	2.36	2.39	2.46	2.76	4.97	4.53	2.55	1.12	2.6	0.56
Gm37388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryab	0.0	0.0	0.29	0.18	0.54	0.12	1.26	0.0	0.0	0.16
Cryaa	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spata9	0.08	0.0	0.0	0.09	0.0	0.06	0.0	0.0	0.14	0.0
Szrd1	45.46	46.61	39.48	53.83	54.36	47.07	45.44	42.75	46.69	56.03
Timmdc1	13.34	15.06	18.12	19.36	22.91	21.14	18.51	8.81	11.03	12.07
Jmjd1c	39.78	52.07	32.22	44.41	36.1	36.91	33.62	37.72	39.21	42.31
Spata3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spata4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ash2l	62.03	126.07	71.97	109.52	99.01	54.5	74.24	20.2	29.76	27.21
Spata1	3.47	7.24	3.82	5.47	7.13	2.29	5.1	3.36	5.42	3.8
Spata2	15.2	20.11	13.88	17.62	18.34	12.9	10.54	8.59	10.17	12.95
Spata7	2.17	4.97	2.7	3.81	3.85	1.32	1.08	0.78	2.01	1.56
Spata5	35.41	35.23	28.49	32.75	28.96	24.01	29.84	10.37	15.28	16.82
Spata6	7.32	4.9	3.08	5.08	3.95	3.44	8.65	8.91	10.46	7.95
4930553M12Rik	1.33	0.87	0.53	0.64	0.62	0.29	0.76	0.0	0.0	0.0
Coq8a	13.9	18.93	8.2	20.19	22.1	4.53	14.21	5.1	16.85	6.3
Coq8b	5.73	7.22	5.05	8.0	9.87	8.3	8.95	7.48	5.59	7.65
Cyld	21.36	28.67	20.54	30.46	24.61	16.34	21.52	25.7	22.58	28.43
Lsg1	45.44	50.21	51.26	46.55	66.44	56.04	68.04	22.59	32.73	29.24
Pik3r5	4.64	1.35	1.2	0.19	0.3	1.21	0.73	25.67	9.12	28.47
Pik3r6	2.84	0.32	0.71	1.14	0.66	0.56	0.49	18.97	5.46	20.51
Tkt	319.54	252.92	249.1	268.9	257.62	271.46	256.59	345.76	212.15	462.22
Pik3r1	71.93	80.4	65.88	60.51	41.48	96.66	81.52	25.18	34.3	46.77
Pik3r2	25.96	32.69	24.36	34.77	63.34	23.81	37.46	7.74	9.59	12.13
Pik3r3	0.05	0.38	0.23	0.42	1.07	0.96	1.44	0.37	2.76	0.64
Pik3r4	16.64	24.53	15.75	26.83	26.86	16.85	18.31	13.59	15.28	15.38
Prkar1a	222.26	265.48	181.56	277.67	300.39	209.88	323.93	96.69	100.02	119.85
Prkar1b	0.49	0.32	0.09	0.42	0.74	0.28	0.42	0.75	0.03	0.18
BC048679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr1025-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pabpc4l	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bbox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bcdin3d	6.11	5.84	6.19	7.95	6.24	4.63	7.29	3.23	3.72	3.99
Prkar2a	12.91	17.15	14.21	16.03	17.35	25.47	17.39	14.17	10.73	16.2
Prkar2b	141.94	268.89	173.8	261.38	314.31	220.79	290.3	22.91	83.47	66.4
Il1rapl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700129C05Rik	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0
Mcrs1	44.37	53.47	36.63	44.33	53.48	39.02	46.0	21.08	30.01	29.16
Il1rapl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC048671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myt1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610009O20Rik	39.28	52.57	41.12	50.98	44.98	32.05	32.89	10.64	12.95	16.72
Ash1l	10.39	11.77	8.27	13.53	12.97	6.81	8.06	11.04	13.65	13.51
Trp53tg5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcn1	104.2	109.18	106.49	116.11	117.49	101.98	126.18	66.9	68.83	78.53
Zfp46	4.91	8.66	5.46	7.79	10.92	3.66	4.53	5.49	8.35	6.68
Tmem170b	10.48	8.6	5.97	8.52	6.61	4.43	5.25	10.46	6.74	16.88
Zfp40	2.92	6.16	4.15	9.33	7.15	2.16	5.82	1.57	5.16	3.3
Zfp41	2.56	5.36	3.6	4.7	5.69	3.46	3.47	2.58	3.43	5.14
Zfp42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grb14	0.1	0.0	0.0	0.0	0.28	0.21	0.0	0.39	0.0	0.58
Tnc	0.0	0.03	0.02	0.01	0.03	0.0	0.0	0.02	0.05	0.03
Grb10	136.08	235.05	140.11	304.11	111.01	8.0	76.32	0.75	1.0	1.63
Tnf	4.26	3.3	0.52	0.64	4.49	17.49	13.37	13.5	2.58	10.12
Drosha	44.76	75.43	65.64	118.72	162.84	51.28	57.8	7.46	18.72	13.34
Egln1	5.89	8.47	6.93	9.55	13.77	13.71	11.29	14.84	8.98	15.58
Egln2	25.65	30.05	21.01	25.81	28.23	24.58	22.11	20.89	21.46	24.93
Egln3	5.01	0.31	2.05	2.26	0.43	4.2	10.2	2.34	11.09	7.78
Alyref2	6.29	8.71	5.31	8.08	11.44	5.69	9.6	6.59	5.48	6.65
Cyp2d34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cys1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tnn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700102P08Rik	0.31	0.8	0.72	0.95	0.34	0.59	1.28	1.31	1.25	1.79
Tnr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
Malt1	8.76	8.6	6.9	9.05	7.08	10.64	9.52	31.54	19.75	25.7
Zfp35	18.3	35.93	25.57	23.69	32.59	15.63	26.24	15.04	19.71	20.28
Zfp36	136.87	301.94	21.01	42.1	375.34	195.49	217.52	240.4	118.77	309.37
Zfp30	0.38	1.03	0.33	0.5	0.88	0.15	0.36	0.05	0.49	0.11
Krit1	35.46	38.56	31.71	47.71	34.04	30.38	33.54	20.63	32.14	25.96
Zfp37	0.02	0.0	0.0	0.0	0.0	0.62	0.2	0.0	0.0	0.0
Cyp2d26	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0
Zfp39	6.61	9.9	6.94	7.16	5.61	12.12	5.55	3.49	5.9	6.53
Cyp2d22	1.55	3.45	0.9	4.14	0.99	0.47	1.52	0.42	0.59	0.38
4930549C01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mtch2	102.29	120.83	128.75	123.82	125.64	111.07	126.37	42.24	46.8	58.61
Mtch1	105.86	94.22	85.91	119.77	88.45	60.36	83.31	47.72	57.78	67.52
Tox	2.8	0.28	1.06	0.74	4.76	3.63	2.47	1.16	3.37	1.16
Zfp68	26.33	38.3	32.07	40.93	44.49	20.71	25.62	19.53	22.63	23.62
Zfp69	2.28	3.85	1.06	17.15	2.31	0.92	3.98	0.83	1.43	1.04
Zfp62	35.78	39.58	40.27	53.44	41.2	24.74	32.13	23.26	29.21	26.4
Ccdc85a	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp64	11.06	13.26	8.49	10.8	32.3	10.66	11.69	4.55	10.68	5.86
Ccdc85b	10.64	7.54	7.4	6.04	9.5	12.86	8.68	5.45	8.89	4.97
Zfp65	7.67	9.75	9.53	13.36	13.01	2.89	5.04	4.3	7.23	6.2
Ccdc85c	0.11	0.06	0.0	0.12	0.06	0.0	0.16	0.21	0.14	0.33
Tpm3-rs7	5.38	8.17	5.8	5.55	5.57	5.35	8.36	8.37	6.07	7.84
B430218F22Rik	0.17	0.32	0.31	0.19	0.31	0.43	0.67	0.4	0.65	0.0
Tpo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2d11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2d12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2d10	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0
Tpr	248.79	257.76	182.34	252.32	235.32	182.25	226.05	155.08	136.69	162.62
5730508B09Rik	34.12	30.6	59.43	51.3	15.55	92.03	30.05	24.06	24.5	43.14
Zfp72	0.71	1.46	1.33	1.31	2.12	0.0	0.25	0.8	1.62	0.51
Man1a	12.91	22.42	15.55	13.92	23.52	9.0	11.95	46.2	46.9	37.24
Ndor1	17.47	25.08	11.16	23.72	28.43	16.98	15.89	12.64	21.57	16.09
Toporsl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp57	0.61	0.26	0.28	0.0	0.0	1.42	1.39	0.21	0.45	0.17
Lrch1	8.58	9.69	6.27	10.82	8.78	4.74	6.77	9.06	7.7	10.28
Lrch2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
Zfp58	2.43	6.08	3.57	5.84	4.75	2.18	2.59	3.27	4.78	4.55
Zfp51	10.56	12.21	9.97	14.76	9.0	8.27	8.42	5.53	7.88	7.78
Zfp52	7.24	11.42	5.45	11.26	14.13	3.93	7.16	6.78	11.41	7.56
Zfp53	8.7	10.45	5.96	9.11	8.77	6.37	7.66	7.39	10.0	10.07
Asmt	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
Zfp54	6.24	8.55	6.69	13.99	5.24	4.04	4.55	1.7	2.01	2.22
Lsm2	66.2	71.9	81.96	78.05	84.01	100.49	66.8	21.36	44.07	53.52
Lsm3	128.62	189.23	162.6	167.73	221.21	144.79	138.23	53.19	108.04	95.38
Lsm4	139.36	156.15	139.78	137.21	142.88	169.61	109.89	49.82	81.05	72.89
Lsm5	91.59	112.4	119.99	118.69	111.78	93.61	100.44	57.22	50.98	71.74
Lrch3	16.89	20.33	15.2	21.21	17.4	16.87	21.01	14.52	13.84	16.88
Zfp59	4.79	8.22	5.11	6.94	6.93	3.75	3.63	1.62	3.15	2.35
Lrch4	53.41	47.58	46.05	57.57	63.36	29.23	52.63	76.14	50.96	101.98
Ermap	213.94	147.91	280.91	173.8	28.86	343.45	80.92	14.56	86.76	136.86
Lsm1	21.32	25.14	25.18	26.41	34.71	27.6	25.65	14.53	21.27	17.67
Clca3a1	642.35	571.62	343.86	891.12	186.95	77.57	406.94	1.02	45.33	2.02
Clca3a2	1.84	3.4	0.65	4.36	1.33	0.06	1.23	0.0	0.0	0.0
Lsm6	108.22	131.02	132.79	122.23	122.59	98.22	122.53	62.6	69.1	98.57
BC025920	3.31	2.92	3.08	5.36	2.66	4.34	1.39	2.14	3.1	2.68
Lsm7	82.99	56.87	97.38	76.44	85.37	95.73	61.31	26.35	49.22	35.17
Lsm8	109.71	132.81	119.68	130.74	123.16	105.0	104.08	42.79	44.16	67.31
Zfp60	3.35	5.94	5.65	7.36	8.27	3.24	4.33	3.77	6.44	3.88
Cgrrf1	16.95	24.71	17.76	23.02	32.21	13.07	15.95	9.8	12.26	17.24
Zfp61	10.24	16.7	8.11	8.91	12.87	7.05	13.33	5.08	10.36	4.61
Zfp84	7.48	12.34	7.32	10.99	11.89	5.96	6.8	7.31	9.95	7.61
Zfp85	3.28	4.34	4.52	4.8	4.61	2.53	3.14	3.25	3.47	2.43
Zfp87	12.4	15.15	12.42	18.38	17.47	9.28	14.73	12.97	11.68	16.28
Asns	15.01	4.18	34.58	5.49	22.9	184.76	20.61	9.3	31.45	31.76
Prlhr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trf	9.34	12.7	4.64	0.36	2.66	4.34	3.87	57.29	30.03	78.75
Trh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lsp1	95.48	12.17	27.24	6.84	12.25	24.67	16.33	623.91	258.42	710.59
Il15ra	11.34	9.17	3.28	8.26	6.8	2.01	2.84	6.33	6.86	7.63
Cers6	21.9	5.33	6.71	16.92	12.5	1.12	8.41	28.34	10.92	42.8
Cers5	19.78	13.67	11.19	14.22	18.14	6.56	17.67	26.54	25.49	27.42
Cers4	3.26	5.96	3.0	6.12	10.02	4.79	5.16	5.23	7.86	4.36
Cers3	0.02	0.06	0.07	0.03	0.0	0.06	0.07	0.0	0.0	0.05
Cers2	183.43	185.29	141.95	185.08	222.79	200.58	204.88	75.83	111.0	103.44
Tro	0.0	0.15	0.0	0.14	0.29	0.08	0.09	0.0	0.45	0.02
Cers1	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.04	0.0
Zfp91	48.79	73.84	57.41	72.36	69.02	71.31	77.37	31.69	44.12	49.35
Zfp92	0.0	0.02	0.01	0.0	0.1	0.0	0.01	0.04	0.06	0.0
Zfp93	0.85	0.32	0.76	1.22	2.14	0.25	0.68	0.45	1.61	0.28
Zfp94	1.42	2.71	2.6	3.09	4.89	1.26	1.06	3.48	3.84	2.39
Zfp90	2.93	5.37	1.85	3.35	3.88	1.65	2.72	3.35	5.44	4.36
Zfp78	1.67	1.31	1.8	2.14	1.86	1.84	0.99	0.67	1.19	1.34
Zfp74	5.29	8.84	5.57	5.52	9.86	3.24	6.3	3.74	5.49	3.55
Trappc9	14.19	16.81	11.35	15.17	15.92	10.79	12.83	7.03	11.21	10.97
Trappc8	23.19	26.93	24.6	31.05	24.49	17.86	18.92	23.65	18.78	28.54
Trappc5	16.36	17.98	13.88	15.76	17.67	12.65	17.15	15.99	19.51	19.58
Trappc4	47.87	54.71	43.39	50.54	59.72	56.53	63.03	35.67	35.55	46.45
Trappc3	42.47	49.79	45.13	51.35	49.26	52.04	55.28	28.01	34.59	36.99
Gapdh	2078.12	1763.49	1576.28	1549.77	1723.01	1138.8	2283.56	927.32	730.87	1249.3
Trappc2	9.47	15.13	11.28	14.49	18.7	7.58	14.69	10.22	8.9	10.63
Tsn	131.54	149.96	146.74	159.1	147.96	150.16	140.88	52.41	72.84	78.84
Trappc1	92.51	139.41	112.06	150.12	165.01	90.2	134.71	40.51	37.38	60.02
Mtcl1	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.04	0.0	0.0
Nt5dc2	39.66	25.73	40.98	26.72	25.0	24.39	36.59	7.7	11.95	22.09
Nt5dc3	3.72	3.9	2.68	5.05	4.44	3.57	4.66	3.04	4.48	3.34
Tst	12.53	8.27	9.51	4.27	7.91	8.3	1.56	13.7	5.98	21.79
Nt5dc1	30.27	42.82	33.22	40.56	42.08	20.72	39.75	15.81	14.97	24.18
4930435E12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tsx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp81	3.36	5.66	3.93	5.99	5.94	2.62	3.14	1.92	3.25	2.47
Zfp82	2.92	3.69	2.98	4.35	3.88	2.92	1.78	2.43	3.27	2.24
Spred1	5.6	14.1	7.34	17.14	23.79	22.53	28.7	3.2	9.96	5.32
Spred3	0.43	0.22	0.07	0.51	0.7	1.75	1.96	0.34	1.01	0.24
Atad3a	50.23	47.83	39.41	51.94	69.59	41.63	39.03	14.06	37.44	18.18
Spred2	21.7	20.56	9.58	17.62	25.62	21.05	27.67	5.07	7.66	8.07
Slc47a1	0.31	0.04	0.0	0.0	0.0	0.02	0.0	0.0	0.09	0.0
Slc47a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0
AU040320	13.39	13.16	12.22	15.63	17.93	15.43	19.22	13.65	13.21	19.82
2810428I15Rik	47.97	58.15	55.49	49.23	49.33	54.56	43.87	19.9	27.11	30.98
Pdcd4	129.13	230.71	130.48	151.09	206.58	42.07	88.54	51.37	171.63	70.74
Pdcd1	0.56	0.2	2.35	0.76	0.0	2.36	1.32	0.47	1.11	0.46
Ttk	27.88	48.86	43.31	38.79	32.01	32.65	15.26	7.82	7.92	20.82
Pdcd2	47.59	53.78	36.55	48.85	51.91	44.65	56.22	18.94	34.71	28.78
Sgcz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttl	3.24	5.2	3.19	4.6	4.36	3.46	3.02	1.06	1.99	1.39
Aspn	0.0	0.0	0.03	0.04	0.04	0.0	0.0	0.0	0.0	0.0
